Census Tract 1001-Salt Lake County-Utah,Census Tract 1002-Salt Lake County-Utah,Census Tract 1003.06-Salt Lake County-Utah,Census Tract 1003.07-Salt Lake County-Utah,Census Tract 1003.08-Salt Lake County-Utah,Census Tract 1005-Salt Lake County-Utah,Census Tract 1006-Salt Lake County-Utah,Census Tract 1007-Salt Lake County-Utah,Census Tract 1008-Salt Lake County-Utah,Census Tract 1010-Salt Lake County-Utah,Census Tract 1011.01-Salt Lake County-Utah,Census Tract 1011.02-Salt Lake County-Utah,Census Tract 1012-Salt Lake County-Utah,Census Tract 1014.01-Salt Lake County-Utah,Census Tract 1014.02-Salt Lake County-Utah,Census Tract 1015-Salt Lake County-Utah,Census Tract 1016-Salt Lake County-Utah,Census Tract 1017-Salt Lake County-Utah,Census Tract 1018-Salt Lake County-Utah,Census Tract 1019-Salt Lake County-Utah,Census Tract 1020-Salt Lake County-Utah,Census Tract 1021-Salt Lake County-Utah,Census Tract 1023-Salt Lake County-Utah,Census Tract 1025.01-Salt Lake County-Utah,Census Tract 1025.02-Salt Lake County-Utah,Census Tract 1026-Salt Lake County-Utah,Census Tract 1027.01-Salt Lake County-Utah,Census Tract 1027.02-Salt Lake County-Utah,Census Tract 1028.01-Salt Lake County-Utah,Census Tract 1028.02-Salt Lake County-Utah,Census Tract 1029-Salt Lake County-Utah,Census Tract 1030-Salt Lake County-Utah,Census Tract 1031-Salt Lake County-Utah,Census Tract 1032-Salt Lake County-Utah,Census Tract 1033-Salt Lake County-Utah,Census Tract 1034-Salt Lake County-Utah,Census Tract 1035-Salt Lake County-Utah,Census Tract 1036-Salt Lake County-Utah,Census Tract 1037-Salt Lake County-Utah,Census Tract 1038-Salt Lake County-Utah,Census Tract 1039-Salt Lake County-Utah,Census Tract 1040-Salt Lake County-Utah,Census Tract 1041-Salt Lake County-Utah,Census Tract 1042-Salt Lake County-Utah,Census Tract 1043-Salt Lake County-Utah,Census Tract 1044-Salt Lake County-Utah,Census Tract 1047-Salt Lake County-Utah,Census Tract 1048-Salt Lake County-Utah,Census Tract 1049-Salt Lake County-Utah,Census Tract 1101.03-Salt Lake County-Utah,Census Tract 1101.04-Salt Lake County-Utah,Census Tract 1101.05-Salt Lake County-Utah,Census Tract 1101.06-Salt Lake County-Utah,Census Tract 1102-Salt Lake County-Utah,Census Tract 1103-Salt Lake County-Utah,Census Tract 1104.01-Salt Lake County-Utah,Census Tract 1104.02-Salt Lake County-Utah,Census Tract 1105-Salt Lake County-Utah,Census Tract 1106-Salt Lake County-Utah,Census Tract 1107.01-Salt Lake County-Utah,Census Tract 1107.02-Salt Lake County-Utah,Census Tract 1108-Salt Lake County-Utah,Census Tract 1109-Salt Lake County-Utah,Census Tract 1110.01-Salt Lake County-Utah,Census Tract 1110.02-Salt Lake County-Utah,Census Tract 1111.04-Salt Lake County-Utah,Census Tract 1111.05-Salt Lake County-Utah,Census Tract 1111.06-Salt Lake County-Utah,Census Tract 1111.07-Salt Lake County-Utah,Census Tract 1111.08-Salt Lake County-Utah,Census Tract 1111.09-Salt Lake County-Utah,Census Tract 1112.01-Salt Lake County-Utah,Census Tract 1112.02-Salt Lake County-Utah,Census Tract 1113.02-Salt Lake County-Utah,Census Tract 1113.04-Salt Lake County-Utah,Census Tract 1113.05-Salt Lake County-Utah,Census Tract 1113.06-Salt Lake County-Utah,Census Tract 1114-Salt Lake County-Utah,Census Tract 1115-Salt Lake County-Utah,Census Tract 1116.01-Salt Lake County-Utah,Census Tract 1116.02-Salt Lake County-Utah,Census Tract 1117.01-Salt Lake County-Utah,Census Tract 1117.02-Salt Lake County-Utah,Census Tract 1118.01-Salt Lake County-Utah,Census Tract 1118.02-Salt Lake County-Utah,Census Tract 1119.03-Salt Lake County-Utah,Census Tract 1119.04-Salt Lake County-Utah,Census Tract 1119.05-Salt Lake County-Utah,Census Tract 1119.06-Salt Lake County-Utah,Census Tract 1120.01-Salt Lake County-Utah,Census Tract 1120.02-Salt Lake County-Utah,Census Tract 1121.01-Salt Lake County-Utah,Census Tract 1121.02-Salt Lake County-Utah,Census Tract 1122.01-Salt Lake County-Utah,Census Tract 1122.02-Salt Lake County-Utah,Census Tract 1123.01-Salt Lake County-Utah,Census Tract 1123.02-Salt Lake County-Utah,Census Tract 1124.02-Salt Lake County-Utah,Census Tract 1124.04-Salt Lake County-Utah,Census Tract 1124.05-Salt Lake County-Utah,Census Tract 1124.06-Salt Lake County-Utah,Census Tract 1125.01-Salt Lake County-Utah,Census Tract 1125.03-Salt Lake County-Utah,Census Tract 1125.04-Salt Lake County-Utah,Census Tract 1125.05-Salt Lake County-Utah,Census Tract 1126.04-Salt Lake County-Utah,Census Tract 1126.08-Salt Lake County-Utah,Census Tract 1126.09-Salt Lake County-Utah,Census Tract 1126.10-Salt Lake County-Utah,Census Tract 1126.11-Salt Lake County-Utah,Census Tract 1126.12-Salt Lake County-Utah,Census Tract 1126.13-Salt Lake County-Utah,Census Tract 1126.14-Salt Lake County-Utah,Census Tract 1126.15-Salt Lake County-Utah,Census Tract 1126.16-Salt Lake County-Utah,Census Tract 1126.17-Salt Lake County-Utah,Census Tract 1126.18-Salt Lake County-Utah,Census Tract 1126.19-Salt Lake County-Utah,Census Tract 1126.20-Salt Lake County-Utah,Census Tract 1126.21-Salt Lake County-Utah,Census Tract 1127-Salt Lake County-Utah,Census Tract 1128.04-Salt Lake County-Utah,Census Tract 1128.05-Salt Lake County-Utah,Census Tract 1128.12-Salt Lake County-Utah,Census Tract 1128.13-Salt Lake County-Utah,Census Tract 1128.14-Salt Lake County-Utah,Census Tract 1128.15-Salt Lake County-Utah,Census Tract 1128.16-Salt Lake County-Utah,Census Tract 1128.21-Salt Lake County-Utah,Census Tract 1128.22-Salt Lake County-Utah,Census Tract 1128.23-Salt Lake County-Utah,Census Tract 1128.24-Salt Lake County-Utah,Census Tract 1128.25-Salt Lake County-Utah,Census Tract 1128.26-Salt Lake County-Utah,Census Tract 1128.27-Salt Lake County-Utah,Census Tract 1128.28-Salt Lake County-Utah,Census Tract 1128.29-Salt Lake County-Utah,Census Tract 1128.30-Salt Lake County-Utah,Census Tract 1128.31-Salt Lake County-Utah,Census Tract 1129.04-Salt Lake County-Utah,Census Tract 1129.05-Salt Lake County-Utah,Census Tract 1129.07-Salt Lake County-Utah,Census Tract 1129.12-Salt Lake County-Utah,Census Tract 1129.13-Salt Lake County-Utah,Census Tract 1129.14-Salt Lake County-Utah,Census Tract 1129.16-Salt Lake County-Utah,Census Tract 1129.17-Salt Lake County-Utah,Census Tract 1129.18-Salt Lake County-Utah,Census Tract 1129.20-Salt Lake County-Utah,Census Tract 1129.21-Salt Lake County-Utah,Census Tract 1130.07-Salt Lake County-Utah,Census Tract 1130.08-Salt Lake County-Utah,Census Tract 1130.10-Salt Lake County-Utah,Census Tract 1130.11-Salt Lake County-Utah,Census Tract 1130.12-Salt Lake County-Utah,Census Tract 1130.13-Salt Lake County-Utah,Census Tract 1130.14-Salt Lake County-Utah,Census Tract 1130.16-Salt Lake County-Utah,Census Tract 1130.17-Salt Lake County-Utah,Census Tract 1130.21-Salt Lake County-Utah,Census Tract 1130.22-Salt Lake County-Utah,Census Tract 1130.23-Salt Lake County-Utah,Census Tract 1130.24-Salt Lake County-Utah,Census Tract 1130.25-Salt Lake County-Utah,Census Tract 1131.01-Salt Lake County-Utah,Census Tract 1131.02-Salt Lake County-Utah,Census Tract 1131.05-Salt Lake County-Utah,Census Tract 1131.08-Salt Lake County-Utah,Census Tract 1131.09-Salt Lake County-Utah,Census Tract 1131.10-Salt Lake County-Utah,Census Tract 1131.11-Salt Lake County-Utah,Census Tract 1131.12-Salt Lake County-Utah,Census Tract 1131.13-Salt Lake County-Utah,Census Tract 1131.14-Salt Lake County-Utah,Census Tract 1133.07-Salt Lake County-Utah,Census Tract 1133.08-Salt Lake County-Utah,Census Tract 1133.09-Salt Lake County-Utah,Census Tract 1133.10-Salt Lake County-Utah,Census Tract 1133.11-Salt Lake County-Utah,Census Tract 1133.12-Salt Lake County-Utah,Census Tract 1133.13-Salt Lake County-Utah,Census Tract 1133.14-Salt Lake County-Utah,Census Tract 1134.06-Salt Lake County-Utah,Census Tract 1134.08-Salt Lake County-Utah,Census Tract 1134.09-Salt Lake County-Utah,Census Tract 1134.10-Salt Lake County-Utah,Census Tract 1134.11-Salt Lake County-Utah,Census Tract 1134.12-Salt Lake County-Utah,Census Tract 1134.13-Salt Lake County-Utah,Census Tract 1134.14-Salt Lake County-Utah,Census Tract 1134.15-Salt Lake County-Utah,Census Tract 1135.05-Salt Lake County-Utah,Census Tract 1135.09-Salt Lake County-Utah,Census Tract 1135.10-Salt Lake County-Utah,Census Tract 1135.11-Salt Lake County-Utah,Census Tract 1135.12-Salt Lake County-Utah,Census Tract 1135.13-Salt Lake County-Utah,Census Tract 1135.14-Salt Lake County-Utah,Census Tract 1135.15-Salt Lake County-Utah,Census Tract 1135.20-Salt Lake County-Utah,Census Tract 1135.21-Salt Lake County-Utah,Census Tract 1135.22-Salt Lake County-Utah,Census Tract 1135.23-Salt Lake County-Utah,Census Tract 1135.26-Salt Lake County-Utah,Census Tract 1135.27-Salt Lake County-Utah,Census Tract 1135.28-Salt Lake County-Utah,Census Tract 1135.32-Salt Lake County-Utah,Census Tract 1135.33-Salt Lake County-Utah,Census Tract 1135.36-Salt Lake County-Utah,Census Tract 1135.37-Salt Lake County-Utah,Census Tract 1135.38-Salt Lake County-Utah,Census Tract 1135.39-Salt Lake County-Utah,Census Tract 1135.40-Salt Lake County-Utah,Census Tract 1135.41-Salt Lake County-Utah,Census Tract 1135.42-Salt Lake County-Utah,Census Tract 1135.43-Salt Lake County-Utah,Census Tract 1135.44-Salt Lake County-Utah,Census Tract 1135.45-Salt Lake County-Utah,Census Tract 1136-Salt Lake County-Utah,Census Tract 1137.01-Salt Lake County-Utah,Census Tract 1137.02-Salt Lake County-Utah,Census Tract 1138.01-Salt Lake County-Utah,Census Tract 1138.02-Salt Lake County-Utah,Census Tract 1138.04-Salt Lake County-Utah,Census Tract 1138.05-Salt Lake County-Utah,Census Tract 1139.03-Salt Lake County-Utah,Census Tract 1139.04-Salt Lake County-Utah,Census Tract 1139.05-Salt Lake County-Utah,Census Tract 1139.06-Salt Lake County-Utah,Census Tract 1139.08-Salt Lake County-Utah,Census Tract 1139.09-Salt Lake County-Utah,Census Tract 1140-Salt Lake County-Utah,Census Tract 1141-Salt Lake County-Utah,Census Tract 1142-Salt Lake County-Utah,Census Tract 1143.01-Salt Lake County-Utah,Census Tract 1143.02-Salt Lake County-Utah,Census Tract 1143.03-Salt Lake County-Utah,Census Tract 1143.04-Salt Lake County-Utah,Census Tract 1145-Salt Lake County-Utah,Census Tract 1146.01-Salt Lake County-Utah,Census Tract 1146.02-Salt Lake County-Utah,Census Tract 1147-Salt Lake County-Utah,Census Tract 1148-Salt Lake County-Utah,Census Tract 1151.07-Salt Lake County-Utah,Census Tract 1151.08-Salt Lake County-Utah,Census Tract 1151.09-Salt Lake County-Utah,Census Tract 1152.10-Salt Lake County-Utah,Census Tract 1152.11-Salt Lake County-Utah,Census Tract 1306-Tooele County-Utah,Census Tract 1307.01-Tooele County-Utah,Census Tract 1307.04-Tooele County-Utah,Census Tract 1307.05-Tooele County-Utah,Census Tract 1307.06-Tooele County-Utah,Census Tract 1307.07-Tooele County-Utah,Census Tract 1307.08-Tooele County-Utah,Census Tract 1308-Tooele County-Utah,Census Tract 1309-Tooele County-Utah,Census Tract 1310.01-Tooele County-Utah,Census Tract 1310.03-Tooele County-Utah,Census Tract 1310.04-Tooele County-Utah,Census Tract 1310.05-Tooele County-Utah,Census Tract 1311.01-Tooele County-Utah,Census Tract 1311.02-Tooele County-Utah,Census Tract 1312-Tooele County-Utah
3424,2492,6630,4586,3219,6354,6820,4524,3127,5653,2815,5453,6701,1633,3636,4907,5054,4947,5531,4466,3862,2900,3629,3037,1795,4700,5602,2762,6282,4212,5587,5096,6230,5385,6608,7772,7047,5847,5024,4325,7535,6661,5781,13321,4763,3829,8661,8637,3890,6276,11520,3600,3503,9019,10783,5046,7035,11325,10238,5657,8891,8526,7012,7210,9223,3592,4047,4676,4292,4214,4072,3835,5788,9819,5195,6741,3971,7383,2332,4433,4873,5547,6933,6782,4669,4892,4299,5544,4900,3643,6112,5258,5939,6524,4956,5278,4711,7269,4068,7955,3544,4730,6296,3927,4491,5810,7489,8399,7888,8731,6979,7504,6883,4429,6585,6023,4928,4276,3678,7067,6261,7423,7556,5888,7150,8426,8350,9171,13990,7660,7981,6827,7934,7614,11827,8903,3155,7332,6196,6755,7566,4245,3530,5880,6637,4709,5229,6030,5761,5236,6223,11037,10154,8936,9728,7450,7290,10657,9653,8027,10957,10860,7106,7611,7786,5014,10352,4577,7147,5447,5574,5672,12919,10290,5062,4539,5098,2592,2935,2679,4636,1715,5129,5498,4828,5954,2747,2691,5375,8833,4003,7013,5881,3434,3584,4127,6523,5581,8179,4394,7767,3682,5162,5140,4280,6239,3556,6267,3986,3670,2690,4136,6022,2606,4132,4491,4609,2882,4066,3683,2121,4432,2419,6123,3534,5546,5983,6454,3263,4429,4342,4812,5418,7500,4784,2216,13449,6708,7951,7010,3240,4757,8066,9933,10035,7032,13422,5854,1618,4722,7459,8651,5947,4499,6685,6651,4565,2835,3212,2419,1503,4152,4350,3641
6514,4473,15255,11062,8990,14167,15243,8368,6535,9451,5597,10108,11731,3801,8295,9642,9744,9870,10424,8803,7541,5629,8030,6638,3655,10985,13225,7105,14708,11152,13300,9276,11908,11471,12337,13135,11900,9292,8294,7351,12679,10961,9406,21187,8529,6372,15353,15764,7759,10734,18410,6115,6325,15504,18250,9418,12571,19391,17288,10784,15873,16108,11875,12818,16185,7145,9249,8959,8198,8049,7844,7389,11148,17557,9251,12138,6986,16446,5462,8963,11600,13535,13923,13913,8634,9909,8908,11466,11089,7815,12657,10728,12095,13446,10451,10368,9991,15749,9564,15401,8940,9954,13001,7502,9624,11837,14120,15100,15937,17307,13247,13665,11904,7617,11703,9903,9350,8003,7661,14653,13234,14497,14121,12907,13192,13934,14354,16251,22524,14591,15009,12921,14381,14581,23786,15117,6911,13876,11420,15452,14723,10126,7238,12770,14764,10599,11073,13316,12435,10817,12048,19373,18923,16290,17640,14000,14196,19776,18898,15407,19844,19449,13361,13672,17336,9880,19599,10244,13994,13056,11020,11051,24393,22658,13898,12513,12403,6298,8575,7062,10788,4624,13671,13556,11774,13976,6873,6305,13197,18350,10951,15584,14515,7645,8314,9154,14513,14024,16994,10206,17584,7959,12962,13199,9805,12649,7450,12030,9338,8558,6813,11004,13958,5871,8664,10187,10669,7100,11389,9067,5577,12627,7747,12680,8770,12649,15128,16328,9386,10351,9268,8874,9386,14552,10756,5113,24272,13756,19226,13100,6372,11080,12546,17615,19053,13712,23114,13863,4268,9838,14673,16114,12972,9500,15330,15298,12401,6838,8028,6081,4683,9657,10618,8510
2301,1390,6493,5031,4209,5904,6482,2944,2380,3040,1950,3514,3994,1549,3346,3521,3509,3641,3694,3011,2745,1994,3180,2622,1296,4644,5662,3137,6388,5217,5680,3190,4417,4454,4355,4282,3929,2872,2708,2342,4165,3604,3013,6574,2914,2002,5323,5672,2946,3565,5895,2051,2187,5318,6142,3373,4398,6663,5816,3941,5655,5928,3962,4501,5587,2709,3684,3403,2916,2983,2792,2753,4111,6338,3233,4316,2318,6710,2251,3423,5080,5851,5402,5418,3038,3691,3364,4480,4621,3070,4935,4107,4774,5351,4244,3896,4023,6514,4098,5886,3880,3974,5178,2648,3924,4714,5385,5462,6370,6888,4855,4962,4152,2635,4152,3279,3463,2917,3007,5839,5303,5692,5393,5441,4949,4594,4979,5826,7210,5628,5594,4781,5239,5746,9627,5110,2825,5193,4227,6790,5841,4502,2939,5493,6401,4521,4653,5591,5192,4414,4667,7009,7105,6042,6531,5420,5514,7513,7528,5989,7413,7158,5112,4987,7532,3927,7602,4453,5555,5873,4321,4393,9331,9766,6630,5977,5498,2622,4064,3236,4627,2054,6430,6140,5408,6324,3103,2817,5980,7725,5357,6754,6627,3254,3635,3770,6050,6389,6906,4378,7681,3290,5879,6301,4268,5118,3088,4553,4048,3804,3096,5334,6296,2479,3589,4502,4807,3248,5306,4063,2528,6176,3894,5231,4060,5484,7157,7629,4407,4450,3953,3116,3086,5647,4511,2185,8930,5645,8808,4950,2428,4708,3878,6410,7322,5326,8163,6202,1849,4072,5845,6094,5613,4021,6791,6807,5952,3015,3489,2723,2338,4322,4701,3704
