Census Tract 601-Franklin County-North Carolina,Census Tract 602-Franklin County-North Carolina,Census Tract 603.01-Franklin County-North Carolina,Census Tract 603.02-Franklin County-North Carolina,Census Tract 604.01-Franklin County-North Carolina,Census Tract 604.03-Franklin County-North Carolina,Census Tract 604.04-Franklin County-North Carolina,Census Tract 605.01-Franklin County-North Carolina,Census Tract 605.02-Franklin County-North Carolina,Census Tract 606.01-Franklin County-North Carolina,Census Tract 606.02-Franklin County-North Carolina,Census Tract 607.01-Franklin County-North Carolina,Census Tract 607.02-Franklin County-North Carolina,Census Tract 607.03-Franklin County-North Carolina,Census Tract 608.01-Franklin County-North Carolina,Census Tract 608.02-Franklin County-North Carolina,Census Tract 401.01-Johnston County-North Carolina,Census Tract 401.02-Johnston County-North Carolina,Census Tract 401.03-Johnston County-North Carolina,Census Tract 402.04-Johnston County-North Carolina,Census Tract 402.05-Johnston County-North Carolina,Census Tract 402.06-Johnston County-North Carolina,Census Tract 402.07-Johnston County-North Carolina,Census Tract 402.08-Johnston County-North Carolina,Census Tract 402.09-Johnston County-North Carolina,Census Tract 402.10-Johnston County-North Carolina,Census Tract 403.01-Johnston County-North Carolina,Census Tract 403.03-Johnston County-North Carolina,Census Tract 403.04-Johnston County-North Carolina,Census Tract 404-Johnston County-North Carolina,Census Tract 405.01-Johnston County-North Carolina,Census Tract 405.02-Johnston County-North Carolina,Census Tract 406-Johnston County-North Carolina,Census Tract 407-Johnston County-North Carolina,Census Tract 408-Johnston County-North Carolina,Census Tract 409.03-Johnston County-North Carolina,Census Tract 409.04-Johnston County-North Carolina,Census Tract 409.05-Johnston County-North Carolina,Census Tract 409.06-Johnston County-North Carolina,Census Tract 410.01-Johnston County-North Carolina,Census Tract 410.03-Johnston County-North Carolina,Census Tract 410.04-Johnston County-North Carolina,Census Tract 410.05-Johnston County-North Carolina,Census Tract 411.04-Johnston County-North Carolina,Census Tract 411.05-Johnston County-North Carolina,Census Tract 411.06-Johnston County-North Carolina,Census Tract 411.07-Johnston County-North Carolina,Census Tract 411.08-Johnston County-North Carolina,Census Tract 411.09-Johnston County-North Carolina,Census Tract 411.10-Johnston County-North Carolina,Census Tract 411.11-Johnston County-North Carolina,Census Tract 411.12-Johnston County-North Carolina,Census Tract 411.13-Johnston County-North Carolina,Census Tract 412.03-Johnston County-North Carolina,Census Tract 412.04-Johnston County-North Carolina,Census Tract 412.05-Johnston County-North Carolina,Census Tract 412.06-Johnston County-North Carolina,Census Tract 413.01-Johnston County-North Carolina,Census Tract 413.02-Johnston County-North Carolina,Census Tract 414.01-Johnston County-North Carolina,Census Tract 414.02-Johnston County-North Carolina,Census Tract 415.04-Johnston County-North Carolina,Census Tract 415.05-Johnston County-North Carolina,Census Tract 415.06-Johnston County-North Carolina,Census Tract 415.07-Johnston County-North Carolina,Census Tract 415.08-Johnston County-North Carolina,Census Tract 415.09-Johnston County-North Carolina,Census Tract 415.10-Johnston County-North Carolina,Census Tract 415.11-Johnston County-North Carolina,Census Tract 501-Wake County-North Carolina,Census Tract 503-Wake County-North Carolina,Census Tract 504-Wake County-North Carolina,Census Tract 505-Wake County-North Carolina,Census Tract 506-Wake County-North Carolina,Census Tract 507-Wake County-North Carolina,Census Tract 508-Wake County-North Carolina,Census Tract 509-Wake County-North Carolina,Census Tract 510-Wake County-North Carolina,Census Tract 511.01-Wake County-North Carolina,Census Tract 511.02-Wake County-North Carolina,Census Tract 512-Wake County-North Carolina,Census Tract 514-Wake County-North Carolina,Census Tract 515.01-Wake County-North Carolina,Census Tract 515.02-Wake County-North Carolina,Census Tract 516-Wake County-North Carolina,Census Tract 517-Wake County-North Carolina,Census Tract 518-Wake County-North Carolina,Census Tract 519-Wake County-North Carolina,Census Tract 520.01-Wake County-North Carolina,Census Tract 520.02-Wake County-North Carolina,Census Tract 521.01-Wake County-North Carolina,Census Tract 521.02-Wake County-North Carolina,Census Tract 523.03-Wake County-North Carolina,Census Tract 523.04-Wake County-North Carolina,Census Tract 523.05-Wake County-North Carolina,Census Tract 523.06-Wake County-North Carolina,Census Tract 523.07-Wake County-North Carolina,Census Tract 524.01-Wake County-North Carolina,Census Tract 524.04-Wake County-North Carolina,Census Tract 524.07-Wake County-North Carolina,Census Tract 524.08-Wake County-North Carolina,Census Tract 524.09-Wake County-North Carolina,Census Tract 524.10-Wake County-North Carolina,Census Tract 524.11-Wake County-North Carolina,Census Tract 525.04-Wake County-North Carolina,Census Tract 525.05-Wake County-North Carolina,Census Tract 525.06-Wake County-North Carolina,Census Tract 525.07-Wake County-North Carolina,Census Tract 525.08-Wake County-North Carolina,Census Tract 525.09-Wake County-North Carolina,Census Tract 526.01-Wake County-North Carolina,Census Tract 526.02-Wake County-North Carolina,Census Tract 526.03-Wake County-North Carolina,Census Tract 527.01-Wake County-North Carolina,Census Tract 527.04-Wake County-North Carolina,Census Tract 527.05-Wake County-North Carolina,Census Tract 527.06-Wake County-North Carolina,Census Tract 527.07-Wake County-North Carolina,Census Tract 528.01-Wake County-North Carolina,Census Tract 528.02-Wake County-North Carolina,Census Tract 528.07-Wake County-North Carolina,Census Tract 528.09-Wake County-North Carolina,Census Tract 528.10-Wake County-North Carolina,Census Tract 528.11-Wake County-North Carolina,Census Tract 528.12-Wake County-North Carolina,Census Tract 528.13-Wake County-North Carolina,Census Tract 528.14-Wake County-North Carolina,Census Tract 528.15-Wake County-North Carolina,Census Tract 528.16-Wake County-North Carolina,Census Tract 529.01-Wake County-North Carolina,Census Tract 529.02-Wake County-North Carolina,Census Tract 529.03-Wake County-North Carolina,Census Tract 529.05-Wake County-North Carolina,Census Tract 529.06-Wake County-North Carolina,Census Tract 530.03-Wake County-North Carolina,Census Tract 530.04-Wake County-North Carolina,Census Tract 530.05-Wake County-North Carolina,Census Tract 530.06-Wake County-North Carolina,Census Tract 530.07-Wake County-North Carolina,Census Tract 530.09-Wake County-North Carolina,Census Tract 530.10-Wake County-North Carolina,Census Tract 530.11-Wake County-North Carolina,Census Tract 531.05-Wake County-North Carolina,Census Tract 531.06-Wake County-North Carolina,Census Tract 531.09-Wake County-North Carolina,Census Tract 531.10-Wake County-North Carolina,Census Tract 531.11-Wake County-North Carolina,Census Tract 531.12-Wake County-North Carolina,Census Tract 531.13-Wake County-North Carolina,Census Tract 531.14-Wake County-North Carolina,Census Tract 531.15-Wake County-North Carolina,Census Tract 532.02-Wake County-North Carolina,Census Tract 532.03-Wake County-North Carolina,Census Tract 532.04-Wake County-North Carolina,Census Tract 532.05-Wake County-North Carolina,Census Tract 532.06-Wake County-North Carolina,Census Tract 532.08-Wake County-North Carolina,Census Tract 532.09-Wake County-North Carolina,Census Tract 532.10-Wake County-North Carolina,Census Tract 532.11-Wake County-North Carolina,Census Tract 534.05-Wake County-North Carolina,Census Tract 534.08-Wake County-North Carolina,Census Tract 534.09-Wake County-North Carolina,Census Tract 534.10-Wake County-North Carolina,Census Tract 534.11-Wake County-North Carolina,Census Tract 534.15-Wake County-North Carolina,Census Tract 534.17-Wake County-North Carolina,Census Tract 534.19-Wake County-North Carolina,Census Tract 534.21-Wake County-North Carolina,Census Tract 534.22-Wake County-North Carolina,Census Tract 534.23-Wake County-North Carolina,Census Tract 534.24-Wake County-North Carolina,Census Tract 534.25-Wake County-North Carolina,Census Tract 534.26-Wake County-North Carolina,Census Tract 534.27-Wake County-North Carolina,Census Tract 534.28-Wake County-North Carolina,Census Tract 534.29-Wake County-North Carolina,Census Tract 534.30-Wake County-North Carolina,Census Tract 534.31-Wake County-North Carolina,Census Tract 534.32-Wake County-North Carolina,Census Tract 534.33-Wake County-North Carolina,Census Tract 534.34-Wake County-North Carolina,Census Tract 534.35-Wake County-North Carolina,Census Tract 534.36-Wake County-North Carolina,Census Tract 535.05-Wake County-North Carolina,Census Tract 535.06-Wake County-North Carolina,Census Tract 535.07-Wake County-North Carolina,Census Tract 535.09-Wake County-North Carolina,Census Tract 535.12-Wake County-North Carolina,Census Tract 535.13-Wake County-North Carolina,Census Tract 535.16-Wake County-North Carolina,Census Tract 535.17-Wake County-North Carolina,Census Tract 535.18-Wake County-North Carolina,Census Tract 535.19-Wake County-North Carolina,Census Tract 535.20-Wake County-North Carolina,Census Tract 535.21-Wake County-North Carolina,Census Tract 535.22-Wake County-North Carolina,Census Tract 535.23-Wake County-North Carolina,Census Tract 535.24-Wake County-North Carolina,Census Tract 535.25-Wake County-North Carolina,Census Tract 536.03-Wake County-North Carolina,Census Tract 536.04-Wake County-North Carolina,Census Tract 536.08-Wake County-North Carolina,Census Tract 536.09-Wake County-North Carolina,Census Tract 536.11-Wake County-North Carolina,Census Tract 536.12-Wake County-North Carolina,Census Tract 536.13-Wake County-North Carolina,Census Tract 536.14-Wake County-North Carolina,Census Tract 536.15-Wake County-North Carolina,Census Tract 536.16-Wake County-North Carolina,Census Tract 536.17-Wake County-North Carolina,Census Tract 536.18-Wake County-North Carolina,Census Tract 536.19-Wake County-North Carolina,Census Tract 536.20-Wake County-North Carolina,Census Tract 537.11-Wake County-North Carolina,Census Tract 537.12-Wake County-North Carolina,Census Tract 537.13-Wake County-North Carolina,Census Tract 537.14-Wake County-North Carolina,Census Tract 537.15-Wake County-North Carolina,Census Tract 537.16-Wake County-North Carolina,Census Tract 537.17-Wake County-North Carolina,Census Tract 537.18-Wake County-North Carolina,Census Tract 537.19-Wake County-North Carolina,Census Tract 537.20-Wake County-North Carolina,Census Tract 537.21-Wake County-North Carolina,Census Tract 537.22-Wake County-North Carolina,Census Tract 537.23-Wake County-North Carolina,Census Tract 537.24-Wake County-North Carolina,Census Tract 537.25-Wake County-North Carolina,Census Tract 537.26-Wake County-North Carolina,Census Tract 537.27-Wake County-North Carolina,Census Tract 537.28-Wake County-North Carolina,Census Tract 537.29-Wake County-North Carolina,Census Tract 537.30-Wake County-North Carolina,Census Tract 538.03-Wake County-North Carolina,Census Tract 538.04-Wake County-North Carolina,Census Tract 538.05-Wake County-North Carolina,Census Tract 538.06-Wake County-North Carolina,Census Tract 538.07-Wake County-North Carolina,Census Tract 538.08-Wake County-North Carolina,Census Tract 539.01-Wake County-North Carolina,Census Tract 539.02-Wake County-North Carolina,Census Tract 540.01-Wake County-North Carolina,Census Tract 540.04-Wake County-North Carolina,Census Tract 540.06-Wake County-North Carolina,Census Tract 540.07-Wake County-North Carolina,Census Tract 540.08-Wake County-North Carolina,Census Tract 540.11-Wake County-North Carolina,Census Tract 540.12-Wake County-North Carolina,Census Tract 540.15-Wake County-North Carolina,Census Tract 540.16-Wake County-North Carolina,Census Tract 540.17-Wake County-North Carolina,Census Tract 540.18-Wake County-North Carolina,Census Tract 540.19-Wake County-North Carolina,Census Tract 540.20-Wake County-North Carolina,Census Tract 540.21-Wake County-North Carolina,Census Tract 540.22-Wake County-North Carolina,Census Tract 540.23-Wake County-North Carolina,Census Tract 541.06-Wake County-North Carolina,Census Tract 541.08-Wake County-North Carolina,Census Tract 541.09-Wake County-North Carolina,Census Tract 541.11-Wake County-North Carolina,Census Tract 541.12-Wake County-North Carolina,Census Tract 541.13-Wake County-North Carolina,Census Tract 541.14-Wake County-North Carolina,Census Tract 541.15-Wake County-North Carolina,Census Tract 541.16-Wake County-North Carolina,Census Tract 541.17-Wake County-North Carolina,Census Tract 541.18-Wake County-North Carolina,Census Tract 541.19-Wake County-North Carolina,Census Tract 541.20-Wake County-North Carolina,Census Tract 541.21-Wake County-North Carolina,Census Tract 542.03-Wake County-North Carolina,Census Tract 542.04-Wake County-North Carolina,Census Tract 542.06-Wake County-North Carolina,Census Tract 542.12-Wake County-North Carolina,Census Tract 542.13-Wake County-North Carolina,Census Tract 542.14-Wake County-North Carolina,Census Tract 542.15-Wake County-North Carolina,Census Tract 542.16-Wake County-North Carolina,Census Tract 542.17-Wake County-North Carolina,Census Tract 542.18-Wake County-North Carolina,Census Tract 542.19-Wake County-North Carolina,Census Tract 542.20-Wake County-North Carolina,Census Tract 542.21-Wake County-North Carolina,Census Tract 542.22-Wake County-North Carolina,Census Tract 542.23-Wake County-North Carolina,Census Tract 542.24-Wake County-North Carolina,Census Tract 543.03-Wake County-North Carolina,Census Tract 543.04-Wake County-North Carolina,Census Tract 543.05-Wake County-North Carolina,Census Tract 543.06-Wake County-North Carolina,Census Tract 544.02-Wake County-North Carolina,Census Tract 544.03-Wake County-North Carolina,Census Tract 544.04-Wake County-North Carolina,Census Tract 545.01-Wake County-North Carolina,Census Tract 545.02-Wake County-North Carolina
7279,4522,7674,3025,4048,3436,2911,15028,16873,5923,10395,1801,2906,3890,6016,8075,4081,2694,3115,8806,9565,6291,20481,9017,11583,1789,7202,3476,4460,7543,6945,3592,5486,5519,5979,14577,5705,9421,3265,17167,6097,2931,5467,8899,5327,9005,10210,8476,4297,5248,5188,10228,5862,2029,3201,4090,5131,3557,5549,4433,5915,5013,5989,2972,8236,5037,6132,2375,3949,11209,7202,3849,8372,6649,4946,3887,3546,4878,6569,5065,8925,10080,9642,5081,12797,10593,12691,7617,4653,8553,13010,9591,7182,4622,3671,1843,10300,11314,7295,8403,5834,6500,2300,9101,14840,9134,4601,6327,7852,6505,8673,8243,8007,12025,7483,8943,7159,10767,9710,9569,11427,4215,16142,14259,6378,4872,7937,9863,12520,4969,14664,6917,7339,8744,12096,5731,12286,7145,7834,16384,11733,8070,8150,6694,22660,13729,12365,10220,8488,13983,3675,13053,20096,10951,11762,10324,28282,4585,13216,18559,10582,9418,17695,16454,35377,11758,9846,8758,12070,5450,4259,11847,7744,13577,10318,28319,6158,9479,9533,5324,13684,9672,9656,5832,6444,11819,6286,14336,16375,8083,6367,7748,8387,5944,13324,8952,18010,15468,6524,8037,12284,12009,19960,2793,16820,6526,8886,6613,9591,11544,23696,10280,1078,16440,11538,6464,4536,10745,7482,9093,8618,7275,10001,10737,9493,9697,6067,12450,10998,5509,11875,4463,9858,4861,11172,8326,4174,7235,11333,12282,10096,15722,9260,8807,6149,8027,11135,6258,8044,7531,14953,4636,6207,10792,10275,5911,7171,13074,14865,13117,7694,4501,6728,8940,15945,14024,12747,10554,8585,16195,2854,18430,10419,10588,12213,15235,8672,4209,8870,10643,13311,17261,10358,9993,13602,18650,5338,8432,3912,7843,7266,5855,15115,6119,11502,10835,6859
12758,8080,13474,5637,7362,6255,5398,24107,26506,9410,17563,3321,5556,6624,10730,13698,7520,5043,5521,14793,15931,10898,31077,14038,18459,3170,12884,6792,7523,12855,12195,5975,9888,9929,9890,22759,10212,15826,5280,28564,10106,5190,9034,15016,8843,13948,16505,13441,7105,8647,8690,15731,9448,3730,5778,7402,8722,5948,9888,7787,10746,8903,10411,4978,13328,8516,10175,4254,6873,16716,10830,6244,12356,10447,8558,7820,6722,7791,12087,10071,13907,15496,13739,7789,18044,14437,18297,12530,9318,14738,22404,17016,11328,8039,6063,3223,16292,17770,11338,13296,9753,10745,3810,14717,22274,14062,7274,9996,11716,10109,12357,12343,11648,19481,13445,14022,12060,17551,15619,16381,18995,7059,25446,23939,10476,8417,12483,15632,19867,8109,22762,10826,10900,14153,17781,8951,17424,10835,11652,25516,16942,12510,13184,11233,34718,20610,18864,16154,13482,21627,6165,19247,29706,16990,17434,15978,41355,7155,19273,26830,15543,13830,24724,22927,49531,16964,14774,13005,17705,8251,6691,17084,11534,19477,15182,40564,9334,13995,14652,8303,19977,14520,14042,9252,10096,17986,10303,20482,23714,12744,10249,12664,12839,9883,20417,13171,25947,21859,10299,11829,17437,16844,28636,4497,24334,9923,13517,9915,14139,16742,33910,14998,1979,23869,16478,9885,7713,15936,11249,14232,13120,10793,14421,15308,13605,14893,9972,18305,16445,8877,17466,7249,15021,7875,15475,12047,6477,10887,16442,17782,14696,21980,14821,14042,9850,12706,18389,9509,11943,12253,21933,7682,10412,15909,15113,8907,11833,20705,23840,21598,12110,7482,11089,14307,25046,22665,19922,16698,13325,25442,4562,28018,15284,16166,18820,22593,12523,6871,13868,15924,19866,26414,14988,15691,20184,26628,8542,13884,6900,12443,12325,10755,23527,10394,19535,17140,11230
5180,3299,5510,2253,2979,2480,2124,8693,9186,3232,6847,1353,2363,2488,4313,5296,3055,2145,2121,5690,5979,4268,10249,4745,6586,1191,5384,3161,2809,4982,4920,2146,4018,3970,3729,7810,4131,5992,1799,10980,3771,2031,3202,5809,3211,4700,5933,4608,2592,3087,3249,5092,3206,1494,2368,2935,3360,2200,3989,3122,4465,3513,4007,1762,4833,3116,3585,1679,2535,5187,3350,1922,3809,3570,3278,3559,2726,2517,5246,4543,4663,5131,3816,2184,4994,3609,5285,4545,4207,5895,9072,7070,3852,3000,2048,1077,5725,6176,3711,4566,3622,4000,1355,5348,7085,4630,2330,3163,3665,3281,3450,3895,3334,7156,5674,4926,4520,6606,5601,6493,7257,2607,8893,9454,3823,3131,4139,5588,6923,2662,7745,3549,3385,5051,5524,2662,4734,3072,3430,8772,4869,4146,4564,4087,11612,6658,6114,5713,4775,7384,2246,5692,9135,5669,5289,5261,12551,2224,5783,7765,4623,4014,6767,6062,13639,4832,4727,3920,5310,2252,2033,4985,3143,5499,4489,11651,2749,4290,4791,2647,5965,4399,4160,3172,3136,5795,3669,5751,7032,4333,3514,4549,4223,3613,6786,4019,7608,6045,3482,3572,4788,4443,8262,1385,7162,2974,4319,2900,4264,4873,9906,4403,565,7064,4729,2946,2987,4867,3533,4838,4205,3265,4176,4299,3717,4858,3535,5531,5131,3128,5279,2413,4810,2840,4008,3440,1885,3150,4862,5074,4168,5948,5278,4940,3369,4352,6960,2843,3640,4380,6640,2684,3898,4744,4640,2609,4441,7296,8638,8091,4009,2571,3982,5052,8748,8331,6843,5785,4533,8871,1361,9301,4503,5384,6275,7157,3588,2229,4743,4954,6144,8773,4327,5375,6303,7698,2785,5137,2729,4190,4571,4611,8167,3856,7713,6023,4208
